customer_id,first_name,last_name,email,gender,ip_address,country,marketing_consent,phonenumber,size,created,updated
17957,Si,Work,swork0@fakemail.com,Male,170.62.73.206,FR,FALSE,212-792-1030,2XL,2010-04-27 20:21:46,2023-11-20 15:18:23
74716,Rabi,Pinner,rpinner1@fakemail.com,Male,74.74.121.16,IT,TRUE,208-322-9077,XS,2010-11-29 21:51:42,2023-11-20 15:18:23
110573,Nealon,Biaggetti,nbiaggetti2@fakemail.com,Male,56.152.4.170,IT,FALSE,115-785-3572,XS,2011-03-15 10:49:44,2022-12-12 15:10:35
122065,Rhona,Klemmt,rklemmt3@fakemail.com,Female,67.217.164.20,ES,FALSE,781-558-4692,2XL,2011-04-07 08:58:36,2023-08-02 13:25:03
246726,Loralyn,Trinkwon,ltrinkwon4@fakemail.com,Non-binary,158.151.73.193,IT,FALSE,323-132-9897,XL,2012-02-10 10:08:30,2023-08-30 15:09:18
246871,Isidor,Wrassell,iwrassell5@fakemail.com,Male,145.91.42.39,DE,TRUE,647-827-2698,M,2012-02-10 12:43:42,2023-08-30 15:09:18
331847,Rickie,O'Hartagan,rohartagan6@fakemail.com,Male,149.233.47.48,NL,TRUE,825-761-9832,XS,2012-08-18 16:21:21,2023-04-22 11:24:43
377202,Hale,Dangl,hdangl7@fakemail.com,Non-binary,226.192.109.107,GB,FALSE,912-503-5445,2XL,2012-11-20 11:33:54,2023-03-29 15:56:05
401679,Kimmi,Grundle,kgrundle8@fakemail.com,Non-binary,238.165.108.127,CH,FALSE,713-493-6721,L,2012-12-23 21:02:21,2023-09-20 19:00:29
414446,Kennan,Spavon,kspavon9@fakemail.com,Male,129.239.143.232,GB,TRUE,234-437-1410,M,2013-01-16 13:24:02,2023-03-29 15:56:05
415600,Natalya,Alpin,nalpina@fakemail.com,Female,251.65.206.254,PT,TRUE,390-883-9936,2XL,2013-01-18 18:13:56,2023-09-15 07:57:54
446546,Margaretha,Hardan,mhardanb@fakemail.com,Female,57.36.137.239,GB,TRUE,231-695-4204,L,2013-03-08 13:01:13,2023-04-02 12:49:34
476606,Linea,Curnok,lcurnokc@fakemail.com,Female,156.252.37.124,DE,FALSE,774-345-8231,S,2013-04-24 18:15:45,2023-09-19 09:59:47
496340,Jannel,Shepstone,jshepstoned@fakemail.com,Female,118.225.79.210,CH,FALSE,185-929-0993,S,2013-05-30 13:10:29,2023-04-22 11:24:43
506899,Lydon,Greetham,lgreethame@fakemail.com,Male,225.47.26.27,NL,FALSE,413-492-8667,2XL,2013-06-13 22:48:57,2023-05-08 12:44:47
506900,Luella,Gilbee,lgilbeef@fakemail.com,Female,202.121.32.47,GB,FALSE,543-891-4939,M,2013-06-13 22:49:50,2023-05-08 12:44:47
634014,Marley,Plimmer,mplimmerg@fakemail.com,Female,76.131.124.190,GB,FALSE,649-559-7814,3XL,2013-12-13 13:22:26,2023-03-29 15:15:23
646329,Jefferson,Ramage,jramageh@fakemail.com,Female,245.107.88.48,IT,TRUE,400-675-9506,3XL,2013-12-27 18:26:04,2023-05-08 12:44:47
691149,Roxana,Vernon,rvernoni@fakemail.com,Female,164.41.220.13,CH,FALSE,884-650-0044,M,2014-02-21 21:28:55,2023-11-10 20:28:44
707132,Marnie,Harriott,mharriottj@fakemail.com,Female,142.161.93.31,ES,TRUE,516-267-0969,M,2014-03-14 11:05:11,2023-04-22 11:24:43
709749,Orelia,McGuigan,omcguigank@fakemail.com,Female,182.84.179.215,GB,TRUE,868-422-9513,3XL,2014-03-17 21:22:23,2023-01-09 11:56:09
780845,Jeri,Airth,jairthl@fakemail.com,Female,31.114.247.40,NL,FALSE,436-374-9852,S,2014-06-06 14:04:09,2023-04-22 11:24:43
828847,Doria,Rafe,drafem@fakemail.com,Female,19.97.169.251,DE,FALSE,320-799-8068,XS,2014-07-25 13:45:51,2023-08-06 12:31:08
834840,Corey,Maslen,cmaslenn@fakemail.com,Female,96.30.122.131,DE,FALSE,715-550-6745,S,2014-07-30 16:36:27,2023-08-09 17:44:30
900835,Harley,Riepl,hrieplo@fakemail.com,Female,150.203.247.244,LT,TRUE,933-655-4313,S,2014-09-29 14:35:09,2023-08-06 12:31:08
979502,Somerset,Dauncey,sdaunceyp@fakemail.com,Male,42.169.234.217,GB,FALSE,167-281-8021,2XL,2014-11-30 12:37:21,2023-03-29 15:15:23
992385,Reg,Durrans,rdurransq@fakemail.com,Male,154.44.58.75,IT,TRUE,433-883-1017,S,2014-12-09 20:08:35,2023-08-28 09:34:18
998431,Maxwell,Plain,mplainr@fakemail.com,Male,215.50.227.189,NL,FALSE,741-196-2860,3XL,2014-12-14 12:25:54,2023-08-30 15:09:18
1022114,Lonnard,Volonte,lvolontes@fakemail.com,Male,128.19.196.203,IT,FALSE,638-538-3510,S,2014-12-31 09:59:19,2023-08-30 15:09:18
1024394,Hi,Jeyes,hjeyest@fakemail.com,Male,148.51.5.166,NL,TRUE,543-112-5068,M,2015-01-02 15:12:54,2023-08-30 15:09:18
1052752,Albie,Bowstead,abowsteadu@fakemail.com,Male,17.198.177.26,IT,TRUE,773-653-2868,2XL,2015-01-23 12:29:58,2023-08-30 15:09:18
1128517,Eduard,Piris,epirisv@fakemail.com,Male,175.149.125.29,IT,TRUE,123-842-9878,XS,2015-03-08 12:00:28,2023-08-30 15:09:18
1146976,Estrellita,Giacaponi,egiacaponiw@fakemail.com,Female,163.34.155.42,CH,FALSE,673-274-8892,L,2015-03-18 16:35:50,2023-12-28 10:22:56
1162929,Leo,Colles,lcollesx@fakemail.com,Male,19.25.11.35,GB,FALSE,924-978-2842,L,2015-03-26 22:38:33,2023-08-30 15:09:18
1169960,Vick,Phifer,vphifery@fakemail.com,Male,245.37.144.153,FR,TRUE,407-419-3019,XS,2015-03-30 12:38:31,2023-11-03 17:36:33
1188787,Deina,Beach,dbeachz@fakemail.com,Female,213.211.81.177,PT,TRUE,212-212-7920,XL,2015-04-09 13:51:37,2022-12-09 16:33:39
1193052,Siusan,Peerless,speerless10@fakemail.com,Female,154.160.14.146,LT,FALSE,906-185-2763,S,2015-04-12 14:20:52,2022-12-09 16:33:39
1265206,Alfie,Berryann,aberryann11@fakemail.com,Male,64.255.70.130,CH,FALSE,395-422-3148,2XL,2015-05-18 18:40:25,2023-08-19 12:52:20
1266407,Nollie,Hayne,nhayne12@fakemail.com,Female,17.115.37.9,GB,FALSE,651-415-2769,2XL,2015-05-19 10:59:21,2023-08-30 15:09:18
1270745,Sharlene,Banck,sbanck13@fakemail.com,Female,177.153.95.101,DE,FALSE,976-754-2134,XS,2015-05-20 20:23:14,2022-12-09 16:33:39
1302027,Karen,Vigar,kvigar14@fakemail.com,Female,195.9.165.69,LT,FALSE,858-752-8133,XS,2015-06-02 11:26:49,2023-08-30 18:53:35
1305130,Brina,Skule,bskule15@fakemail.com,Female,80.231.213.173,GB,TRUE,909-856-0302,XL,2015-06-03 14:24:51,2023-10-27 15:53:17
1323457,Kev,Roan,kroan16@fakemail.com,Male,253.87.201.231,FR,TRUE,569-466-0324,XL,2015-06-12 12:44:03,2023-08-30 15:09:18
1350098,Alexei,Tumilty,atumilty17@fakemail.com,Male,1.106.250.104,FR,TRUE,234-792-0167,M,2015-06-24 19:37:09,2023-04-22 11:24:43
1360394,Mickie,Gliddon,mgliddon18@fakemail.com,Female,50.131.135.40,CH,TRUE,230-396-4796,2XL,2015-06-29 12:26:21,2023-11-10 20:28:44
1362514,Essy,Bargery,ebargery19@fakemail.com,Female,105.133.246.51,FR,TRUE,198-686-4850,3XL,2015-06-30 05:39:05,2023-01-13 15:26:50
1406902,Dasha,Eley,deley1a@fakemail.com,Female,163.114.185.52,ES,FALSE,384-691-0908,2XL,2015-07-19 19:02:28,2023-06-24 18:35:21
1414579,Tedd,Ambrose,tambrose1b@fakemail.com,Male,51.69.11.124,NL,FALSE,405-240-0856,M,2015-07-22 11:07:45,2023-08-30 15:09:18
1420568,Ariel,Allcorn,aallcorn1c@fakemail.com,Male,223.193.80.94,IT,TRUE,793-937-5003,3XL,2015-07-24 11:12:00,2023-03-29 15:56:05
1422134,Laureen,Furmage,lfurmage1d@fakemail.com,Female,153.182.135.128,ES,TRUE,514-369-8101,S,2015-07-24 22:02:22,2023-08-30 15:09:18
