employee_id,salon_id,name,jobtitle,providedservices,notes,active,updated,image_id
84179177,166,Putnam Hartop,hairdresser,"['1919034', '1918839', '1918935', '1919029', '2231164', '1918964', '1928291', '1918832', '1918864', '1928293', '1928294', '1919021', '1918955', '1919015', '1918851', '1919011', '2231159', '2231160', '1918977', '2231162', '1918941', '1918844', '2231158']","Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",FALSE,2022-01-28 08:29:07,http://dummyimage.com/198x100.png/cc0000/ffffff
83938094,2639,Carine Woodard,nail technician,"['630903', '932765', '633098', '932737', '633099', '932759']","Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",FALSE,2022-09-26 23:37:35,http://dummyimage.com/124x100.png/dddddd/000000
84179176,2745,Monica Butchers,beautician,"['2520742', '2520744', '2520600', '2520760', '2519098', '2520617', '2520748', '2520619', '2520608', '2519103', '2519135', '2520737']",Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,TRUE,2021-02-17 12:16:25,http://dummyimage.com/163x100.png/cc0000/ffffff
83977714,2618,Danell Adamkiewicz,hair stylist,"['1537014', '1536953', '1537018', '1536945', '1537007', '1537062', '1565542', '1537065', '1565545', '1565546', '1565544', '1536989', '1537054', '1537058', '1537045', '1536918', '1537110', '1537114', '1536983', '1536973', '1536912', '1537040', '1537030', '1536964', '1536905', '1537034', '1537095', '1537096', '1537019', '1537090', '1537024']",In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,FALSE,2020-02-08 20:47:31,http://dummyimage.com/246x100.png/dddddd/000000
84179175,1456,Charo Bussetti,beautician,"['1387825', '1378543', '2046848', '2133376', '1378554', '2030851', '2030854', '2198025', '2030856', '1378550', '1428783', '1926472', '2030857', '2030860', '1387810', '2030862', '1378528', '1378592', '1378527', '2030861', '2030864', '1378525', '1378524', '1378523', '1378537', '2030998', '1378536', '1378535', '1378471', '1378470', '1378533', '1655777', '1378468', '1378513', '1926368', '2025762', '2025763', '1376791', '1378516', '1428810', '1378505']",Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,TRUE,2022-07-16 01:03:25,http://dummyimage.com/174x100.png/dddddd/000000
84179174,2590,Alexandre Simak,creative director,"['3432509', '3432381', '3432397', '3432379', '3432395', '3432378', '3432376', '3432391', '3567613', '3432390']","Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",TRUE,2021-05-29 05:12:08,http://dummyimage.com/241x100.png/5fa2dd/ffffff
84179172,2587,Cy Machen,beautician,"['2130876', '2130862', '1035581', '1035582', '2130860', '1035579', '2130891', '1035580', '1035585', '2130866', '1035586', '1035583', '1035584', '1035589', '1035590', '2130869', '1035587', '1035588', '1035593', '2130874', '1035594', '1035591', '2130872', '1035592']","Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",TRUE,2021-02-15 18:49:24,http://dummyimage.com/233x100.png/5fa2dd/ffffff
84179173,3338,Donella Hudson,beautician,[],Sed ante. Vivamus tortor. Duis mattis egestas metus.,FALSE,2021-02-02 05:13:15,http://dummyimage.com/172x100.png/5fa2dd/ffffff
84028742,3405,Thibaud Geaves,beautician,"['982909', '1307757', '982896', '1307755', '982902', '982904', '1307764']","In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",FALSE,2020-12-23 18:58:47,http://dummyimage.com/100x100.png/dddddd/000000
84179171,1277,Jenny Mee,hairdresser,"['1018027', '1018044', '1018048', '1018038']","Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",FALSE,2021-05-18 02:18:03,http://dummyimage.com/149x100.png/ff4444/ffffff
